"Drug_Name","Drug.therapeutic.score","P.value","FDR"
"flunisolide",0.00139769633567074,0.000351811518559982,0.00275631859029277
"ampicillin",0.00136444609778052,0.00403216348420844,0.0231907668600428
"cilastatin",0.00125249102259303,0.00411002251307258,0.0235027149454437
"felbamate",0.00121843027736344,0.0042551601497561,0.0239952754765093
"sulpiride",0.00121396777947966,0.000455672013757057,0.00336135789989609
"bosutinib",0.00105025456458981,2.62161151536942e-06,3.78043979390228e-05
"osimertinib",0.00102519033884045,0.000621900044969308,0.00445173053772994
"naphazoline",0.0010232398093437,0.00817874540130394,0.0417325726887047
"pravastatin",0.000996530030190342,3.14748641423309e-06,4.47392711737418e-05
"atorvastatin",0.00090247054983815,0.000377595586648119,0.00293521569308499
"molsidomine",0.000890763324448265,0.000522128610428935,0.00381998505424111
"flucloxacillin",0.000853303367900097,0.0042913082274919,0.0239952754765093
"norgestimate",0.000724994507123935,9.26170689511914e-05,0.000861252183237714
"calcipotriol",0.000646508843617857,0.00590597496305006,0.0315196417940904
"prednisone",0.000625877410311605,0.00466470347862029,0.025929496990096
"mefloquine",0.000613056822590041,0.000708045357179206,0.00490562799309282
"perphenazine",0.000571846034600604,0.00541821725687251,0.0291412225437197
"testosterone",0.000528952190469256,0.0030215509043568,0.0176849597049119
"ketoconazole",0.000391835936311265,1.57608028071674e-05,0.000169531756979879
"bisacodyl",0.000354517622887332,5.63028514642023e-06,7.27549833855601e-05
"pemoline",0.000320894885516841,0.000428854419482265,0.00323265263170344
"tacrolimus",0.000259281930892805,0.00860361246239943,0.0434547939090733
