"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","65/617","368/9377",0.176630434782609,2.68438182650976,8.74833673267266,9.74775543455202e-14,2.81814638884395e-12,1.97764658866242e-12,"5216/514/5688/29796/4708/60/10376/518/1349/5879/10476/5691/1340/4696/84790/400916/5694/7133/1329/637/203068/581/9377/4700/4709/515/27089/4694/5689/4707/522/5713/1347/4706/4695/834/5690/509/4726/5685/6396/7132/7416/516/1537/7384/5686/5714/7124/3309/4728/54539/5701/374291/4218/5704/5707/10213/5684/55967/4711/5702/847/5708/5709",65
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","28/617","82/9377",0.341463414634146,5.18946910700874,10.1120812318511,1.03418216104365e-13,2.81814638884395e-12,1.97764658866242e-12,"1508/1520/3123/3113/3122/3115/3119/1514/3109/3117/3107/3127/972/5641/3105/3106/567/920/2923/811/821/5721/3111/3133/3118/3134/7124/3309",28
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","21/617","46/9377",0.456521739130435,6.93809456697907,10.7142372535333,1.59835676776686e-13,4.02048202353665e-12,2.82139089370993e-12,"5688/51371/5721/5691/5694/5689/5713/5698/5690/5685/5686/5696/5714/5701/5704/5707/10213/5684/5702/5708/5709",21
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","27/617","78/9377",0.346153846153846,5.2607530233138,10.0280124989233,1.96332265081634e-13,4.58576076297816e-12,3.21807772840573e-12,"1535/2214/3123/3113/3122/3689/3115/3119/3109/3117/3127/2209/4688/6772/4689/3553/3111/3459/3118/7097/3460/7040/3676/5777/718/7124/3688",27
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","47/617","227/9377",0.20704845814978,3.14666676186464,8.68893086572307,9.25047028918681e-13,2.01660252304272e-11,1.41515966529314e-11,"1535/3162/9446/514/2885/10327/29796/4708/4688/518/1349/5879/10476/4259/1340/4696/1329/292/9377/4700/4709/515/27089/4694/4707/10105/522/1347/4706/4258/4695/509/4726/7416/516/1537/5770/2052/3091/7384/4728/54539/374291/55967/4711/847/2947",47
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","43/617","205/9377",0.209756097560976,3.18781673716251,8.40533788371497,5.67093740782949e-12,1.15899783272515e-10,8.13331812438703e-11,"3123/3113/3122/3115/3119/3109/3117/3107/3127/3105/3106/567/4067/2923/811/6850/7431/6772/3111/5879/3133/3118/7097/960/5925/637/581/9636/4938/3454/5713/965/3134/958/5714/7124/5701/5704/5707/10213/5702/5708/5709",43
"Human Diseases","Immune disease","hsa05330","Allograft rejection","18/617","39/9377",0.461538461538462,7.0143373644184,9.98832080255162,7.10038047521704e-12,1.36577906787998e-10,9.58441451143848e-11,"3123/3113/3122/3115/3119/3109/3117/3107/3127/942/3105/3106/3111/3133/3118/3134/958/7124",18
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","62/617","388/9377",0.15979381443299,2.4285034002239,7.6267722779614,3.40543912847468e-11,6.18654775006233e-10,4.3414370175876e-10,"514/348/2597/5688/4035/29796/4708/10376/518/3553/1349/10476/5691/1340/4696/84790/5694/808/1329/292/637/203068/9377/4700/4709/515/27089/4694/5689/4707/10105/522/5713/1347/4706/4695/5690/509/4726/5685/7132/7416/516/1537/7384/5686/5714/7124/10313/4728/54539/5701/374291/5704/5707/10213/5684/55967/4711/5702/5708/5709",62
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","18/617","44/9377",0.409090909090909,6.21725357300722,9.20570341207984,8.5800402216203e-11,1.47667008024728e-09,1.03625970543669e-09,"3123/3113/3122/3115/3119/3109/3117/3107/3127/942/3105/3106/3553/3111/3133/3118/3134/7124",18
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","18/617","45/9377",0.4,6.07909238249595,9.06367516338716,1.34350972957967e-10,2.19663840786276e-09,1.54150063709667e-09,"3123/3113/3122/3115/3119/3109/3117/3107/3127/942/3105/3106/3553/3111/3133/3118/3134/7124",18
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","22/617","70/9377",0.314285714285714,4.77642972910396,8.41637154108311,2.97407857743343e-10,4.63106521343205e-09,3.24987032521548e-09,"3123/3113/3122/3689/3115/3119/3109/3117/3107/3127/942/3105/3106/60/3111/5879/3133/3118/637/3134/958/5880",22
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","37/617","180/9377",0.205555555555556,3.12397802989375,7.63594000885041,3.28954433845801e-10,4.88945908488987e-09,3.43119935781745e-09,"3123/3113/3122/3115/3119/3109/3117/3107/3127/972/3105/3106/567/29992/2923/811/6850/6772/3553/3111/3459/3133/3118/7097/3460/637/684/581/1978/4938/3454/5499/7132/3134/718/7124/8683",37
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","67/617","480/9377",0.139583333333333,2.12134994597515,6.69328500751258,2.13258244658102e-09,3.03197591318258e-08,2.12770239521585e-08,"514/5688/29796/4708/10376/518/3553/1349/5879/10476/5691/1340/4696/84790/5694/7133/808/1329/292/637/203068/581/9377/4700/4709/515/9246/27089/4694/5689/4707/10105/522/5713/1347/4706/4695/5690/509/11315/4726/5685/7132/7416/516/1537/7384/5686/5714/7124/3309/4728/54539/5701/374291/4218/5704/5707/10213/5684/55967/4711/5702/847/5708/5709/51465",67
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","43/617","250/9377",0.172,2.61400972447326,6.8645402269048,4.26094166806168e-09,5.80553302273405e-08,4.07405826156775e-08,"3107/10109/3105/3106/1175/10092/832/387/409/11031/10097/10096/6643/2350/3133/7852/10095/1173/51699/1213/8724/7456/58533/998/375/830/1211/7046/30011/829/116985/3134/64744/11267/51324/27131/10890/4218/23325/55737/3482/26286/9765",43
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","32/617","157/9377",0.203821656050955,3.09762669171768,7.03415436334238,6.58228773292446e-09,8.6096323546652e-08,6.04184726643172e-08,"29796/4708/3576/3553/1349/5879/1340/4696/7040/1329/637/581/9377/4700/4709/27089/4694/998/4707/1347/4706/4695/4726/7132/1537/7384/7124/4728/54539/374291/55967/4711",32
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","30/617","142/9377",0.211267605633803,3.21078823019152,7.04485720080457,8.18713796483e-09,1.00602767671687e-07,7.05984334538157e-08,"1535/7305/2214/6688/54209/2209/1436/54/11006/2885/2213/4688/6850/126014/6772/4689/10288/3553/3459/5879/10859/140885/11025/3460/7040/3937/3454/7046/7132/7124",30
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","17/617","50/9377",0.34,5.16722852512156,7.84080511104354,8.30665054169896e-09,1.00602767671687e-07,7.05984334538157e-08,"3123/3113/3122/3115/3119/3109/3117/3127/942/10673/3111/3118/7040/7852/3676/958/4055",17
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","24/617","99/9377",0.242424242424242,3.68429841363391,7.12558518252878,1.55525192910209e-08,1.81631207434423e-07,1.27460496445209e-07,"2214/3123/3113/3122/3689/3115/714/3119/712/3109/3117/713/3127/2209/728/719/2359/5724/2357/2213/3111/3118/6404/718",24
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","19/617","66/9377",0.287878787878788,4.37510436619027,7.30231123900041,2.48096795101398e-08,2.79750524131576e-07,1.96316157285316e-07,"3123/3113/3122/3115/3119/3109/3117/3127/3606/6772/3553/3111/3459/3118/7097/3460/7040/4094/7124",19
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","17/617","54/9377",0.314814814814815,4.78447085659403,7.40156455370323,3.10171980485839e-08,3.38087458729564e-07,2.37254357003203e-07,"3123/3113/3122/3115/3119/3109/3117/3107/3127/942/3105/3106/3111/3133/3118/3134/958",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","31/617","160/9377",0.19375,2.94456037277148,6.58394140423885,3.96489651385541e-08,4.18232632267974e-07,2.93496584047701e-07,"3123/3113/3122/3689/3115/3119/3109/3117/3107/3127/942/3105/3106/5788/920/1462/5175/6614/3111/3133/3118/6404/64115/3676/4267/965/3134/958/6383/3685/3688",31
"Human Diseases","Immune disease","hsa05310","Asthma","13/617","32/9377",0.40625,6.17407820097245,7.7806817681626,4.14484474379796e-08,4.23551322256854e-07,2.97228998074986e-07,"2207/3123/3113/3122/3115/3119/3109/3117/3127/3111/3118/958/7124",13
