"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPSA",1.32911797638203e-122,-1.00632948435702,0.254,0.449,3.60350465756697e-118
"OSTC",2.39954826487721e-122,1.4616062885749,0.348,0.158,6.5056552557351e-118
"SPCS3",7.98127431901626e-122,1.66979742857238,0.261,0.086,2.16388309337169e-117
"OSM",9.37143024014894e-122,4.11279862858729,0.131,0.007,2.54078216670918e-117
"PDLIM1",1.18788174805632e-121,-1.54279043951369,0.083,0.233,3.2205849953303e-117
"PLEKHO1",1.47743853043319e-121,1.97331819833307,0.231,0.066,4.00563134371047e-117
"FGFR1",2.67903617712463e-121,-2.03573188137919,0.037,0.154,7.2634028834203e-117
"SIK3",2.68786717416417e-121,-2.54710339608477,0.043,0.164,7.28734548259391e-117
"TUBA1A",2.96755577009351e-121,-1.12614097835284,0.344,0.531,8.04563720387753e-117
"IFNGR1",3.20649145419889e-121,1.54465832738396,0.344,0.157,8.69343963062404e-117
"COX7B",5.12212402206732e-121,1.13689421214448,0.395,0.194,1.38871026486289e-116
"DUSP16",5.20813614588209e-121,-2.74751242633219,0.021,0.122,1.41202987187155e-116
"TRPS1",5.97062000618435e-121,-1.9791859798651,0.119,0.279,1.6187544960767e-116
"SCGB3A1",1.49443180213956e-120,-2.56277156658823,0.027,0.133,4.05170350196079e-116
"ATP6V1B2",2.11064659164655e-120,2.16894073129947,0.198,0.045,5.72238503927213e-116
"GPRC5A",2.70858957547495e-120,-2.51662068960146,0.03,0.139,7.34352805702767e-116
"ID1",3.09070134435286e-120,-2.46756271315913,0.032,0.143,8.37950948480946e-116
"CNPY3",3.88999258744095e-120,1.99493641646818,0.219,0.059,1.05465479030699e-115
"SOCS1",4.5846178506537e-120,-2.11999230886518,0.038,0.156,1.24298159166923e-115
"LAT2",5.11525518906831e-120,4.3643677660627,0.127,0.006,1.3868479868602e-115
"RAC1",6.53040514102605e-120,0.797317544087047,0.571,0.36,1.77052344183498e-115
"RETN",9.36397463807517e-120,6.65073538241804,0.117,0.001,2.53876080387494e-115
"RBMX",9.48190968086755e-120,-1.20732674422719,0.143,0.316,2.57073535267681e-115
"RGS19",1.03970965993062e-119,2.73722221565611,0.167,0.027,2.81886083000391e-115
"FCGR1B",1.318634021823e-119,5.61062342733275,0.118,0.002,3.57508055996651e-115
"HLA-E",1.70191638430613e-119,0.654442353266816,0.656,0.471,4.61423570113077e-115
"EPHB3",2.14090750517295e-119,-2.94825359746138,0.014,0.106,5.80442842802489e-115
"RPL35",3.32029256864315e-119,-0.560095700754465,0.702,0.811,9.0019772121053e-115
"TREM1",4.16461586930757e-119,2.97511198444816,0.129,0.007,1.12911065448667e-114
"PARVG",5.1160297098444e-119,2.97966085466971,0.146,0.016,1.38705797493301e-114
"EFHD2",9.58601959005239e-119,1.68112929995568,0.249,0.08,2.59896163125501e-114
"RBPMS",9.77102739347589e-119,-2.04132992194261,0.041,0.161,2.64912094691918e-114
"MBNL2",3.05210201164901e-118,-1.94763478593318,0.053,0.181,8.2748589739828e-114
"PARD3",5.22230651128277e-118,-2.44023148387659,0.026,0.13,1.41587174133899e-113
"LILRB1",5.88475275190193e-118,6.31967627577855,0.114,0.001,1.59547416609565e-113
"SLC8A1",1.21056328459082e-117,3.28065111879649,0.141,0.014,3.28207917718262e-113
"HLA-DQA2",1.83653550892206e-117,4.66873411450401,0.13,0.009,4.9792150717895e-113
"RBFOX2",2.21551959359642e-117,-1.19450669238269,0.142,0.314,6.00671672215862e-113
"TTYH3",2.32741415507711e-117,3.59920677049254,0.137,0.012,6.31008525724506e-113
"F13A1",2.82234351056162e-117,4.95059115923751,0.123,0.005,7.65193772583467e-113
"FMNL2",3.05398562558846e-117,1.77965478274498,0.232,0.069,8.27996582809543e-113
"RAB32",3.08225968967963e-117,1.72080297971405,0.254,0.085,8.35662247065942e-113
"ATP5PD",4.08603951805723e-117,0.98851747680466,0.49,0.291,1.10780703413567e-112
"SCIMP",5.81151281967428e-117,5.15536908449951,0.118,0.003,1.57561735567009e-112
"PGD",6.01290648347087e-117,1.99496234682499,0.211,0.056,1.63021920579862e-112
"TAGLN",6.06746957987312e-117,-0.791228848622948,0.124,0.298,1.6450123524952e-112
"SAMSN1",1.18750383294379e-116,1.50622888250084,0.209,0.052,3.2195603918772e-112
"ATP6AP1",2.350124573531e-116,1.23621107250665,0.342,0.152,6.37165774375725e-112
"TAF7",2.94199794459027e-116,-1.3013335566924,0.146,0.314,7.97634482737313e-112
"TSPAN4",3.1643174166941e-116,1.873806874682,0.229,0.068,8.57909738014104e-112
"IP6K2",3.51378261073339e-116,-1.53398235564614,0.082,0.227,9.52656741422037e-112
"NAALADL2",3.97168166460324e-116,-3.0038495378996,0.022,0.121,1.07680233290723e-111
"SIRPA",6.60530968935476e-116,2.12560353058975,0.196,0.046,1.79083156297786e-111
"KYNU",2.13041289773482e-115,3.34679636402508,0.14,0.015,5.77597544833865e-111
"PER2",2.20372616824155e-115,-2.87456218300719,0.014,0.103,5.97474238733649e-111
"PLCB1",2.83109100230814e-115,-3.25972225254118,0.013,0.101,7.67565392545782e-111
"HNRNPH3",3.88889474337712e-115,-1.36112275879443,0.114,0.272,1.0543571428244e-110
"AC044849.1",5.24005470645247e-115,-2.993005030887,0.013,0.101,1.42068363201339e-110
"CSRP2",5.79890325235217e-115,-2.30505027824858,0.027,0.131,1.57219864977772e-110
"TSC22D2",6.61448283911618e-115,-2.54546214286469,0.029,0.135,1.79331858734118e-110
"CSF2RA",8.49780915576368e-115,3.98162044678626,0.125,0.007,2.30392601831065e-110
"TOB2",2.75129176900824e-114,-1.99547328647775,0.043,0.16,7.45930224413513e-110
"SLC38A1",3.19961963826713e-114,-1.8231011340548,0.054,0.18,8.67480876326985e-110
"DCN",6.93645111971286e-114,-2.40907973473232,0.097,0.241,1.88061062757655e-109
"C15orf48",8.12861837805436e-114,1.30142457122233,0.299,0.119,2.2038310146581e-109
"PTMA",1.13670337653344e-113,-0.458626011387233,0.928,0.944,3.08183019445745e-109
"PLPP2",1.50435779536207e-113,-1.45524341494576,0.045,0.167,4.07861485478565e-109
"PNRC2",1.92076386169416e-113,-1.37683801479903,0.118,0.275,5.20757498182522e-109
"PLEKHA5",2.82369150420025e-113,-2.43824123140319,0.023,0.121,7.65559240618771e-109
"HK3",3.85964682890725e-113,6.05221868291057,0.111,0.001,1.04642744825333e-108
"DIPK2A",3.97758964460819e-113,-2.08706020691317,0.043,0.16,1.07840410444617e-108
"SSR1",4.83815308809189e-113,1.26269684704978,0.328,0.143,1.31172006524347e-108
"ARHGAP5",4.87408514672448e-113,-1.83054562694321,0.05,0.173,1.32146196497994e-108
"MT1E",5.53994707648627e-113,-1.47848220280258,0.146,0.31,1.50199045137696e-108
"LINC01094",1.28476676514715e-112,5.54626868564428,0.112,0.002,3.48325965366695e-108
